name,party,constituency,county,status,gender,image_local_path
HON. MACHELE MOHAMED SOUD,ODM,MVITA,MOMBASA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MACHELE_MOHAMED_SOUD.webp
"HON. MAINA, BETTY NJERI",UDA,MURANG’A,MURANG’A,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MAINA_BETTY_NJERI.webp
HON. MAINGI MARY,UDA,MWEA,KIRINYAGA,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MAINGI_MARY.webp
HON. MAISORI MARWA KEMERO KITAYAMA,UDA,KURIA EAST,MIGORI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MAISORI_MARWA_KEMERO_KITAYAMA.webp
"HON. MAJIMBO, KALASINGA",FORD-K,KABUCHAI,BUNGOMA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MAJIMBO_KALASINGA.webp
HON. MAKALI JOHN OKWISIA,FORD-K,KANDUYI,BUNGOMA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MAKALI_JOHN_OKWISIA.webp
"HON. MANDUKU, DANIEL OGWOKA",ODM,NYARIBARI MASABA,KISII,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MANDUKU_DANIEL_OGWOKA.webp
HON. MASARA PETER FRANCIS,ODM,SUNA WEST,MIGORI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MASARA_PETER_FRANCIS.webp
HON. MATHENGE DUNCAN MAINA,UDA,NYERI TOWN,NYERI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MATHENGE_DUNCAN_MAINA.webp
HON. MAWATHE JULIUS MUSILI,WDM,EMBAKASI SOUTH,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/MAWETHE_JULIUS_MUSILI.png
HON. MAYAKA IRENE NYAKERARIO,ODM,,,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MAYAKA_IRENE_NYAKERARIO.webp
"HON. MBAI, NIMROD MBITHUKA",UDA,KITUI EAST,KITUI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MBAI_NIMROD_MBITHUKA.webp
HON. MBALU JESSICA NDUKU KIKO,WDM,KIBWEZI EAST,MAKUENI,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MBALU_JESSICA_NDUKU_KIKO.webp
"HON. MBONI, DAVID MWALIKA",WDM,KITUI RURAL,KITUI,,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MBONI_DAVID_MWALIKA.webp
"HON. MBUI, ROBERT",WDM,KATHIANI,MACHAKOS,,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MBUI_ROBERT.webp
"HON. MELI, JULIUS KIPBIRWOT",UDA,TINDERET,NANDI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MELI_JULIUS_KIPBIRWOT.webp
HON. MNYAZI AMINA LAURA,ODM,MALINDI,KILIFI,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MNYAZI_AMINA_LAURA.webp
HON. MOGAKA STEPHEN,JP,WEST MUGIRANGO,NYAMIRA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MOGAKA_STEPHEN.webp
HON. MOHAMED ABDIKADIR HUSSEIN,ODM,LAGDERA,GARISSA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MOHAMED_ABDIKADIR_HUSSEIN.webp
HON. MOHAMED ADEN DAUDI,JP,WAJIR EAST,WAJIR,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MOHAMED_ADEN_DAUDI.webp
HON. MOHAMED MOHAMED ALI,UDA,NYALI,MOMBASA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MOHAMED_MOHAMED_ALI.webp
HON. MOHAMED UMULKHER HARUN,ODM,,,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MOHAMED_UMULKHER_HARUN.webp
HON. MREMBO IRENE NJOKI,JP,BAHATI,NAKURU,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MREMBO_IRENE_NJOKI.webp
"HON. MUCHIRA, MICHAEL MWANGI",UDA,OL JOROK,NYANDARUA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MUCHIRA_MICHAEL_MWANGI.webp
HON. MUGABE INNOCENT MAINO,ODM,LIKUYANI,KAKAMEGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MUGABE_INNOCENT_MAINO.webp
HON. MUHIA WANJIKU,UDA,KIPIPIRI,NYANDARUA,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MUHIA_WANJIKU.webp
