name,party,constituency,county,status,gender,image_local_path
HON. OCHIENG DAVID OUMA,MDG,UGENYA,SIAYA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OCHIENG_DAVID_OUMA.jpeg
"HON. ODANGA, GEOFFREY MAKOKHA",ODM,MATAYOS,BUSIA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ODANGA_GEOFFREY_MAKOKHA.webp
HON. ODEGE TOM MBOYA,ODM,NYATIKE,MIGORI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ODEGE_TOM_MBOYA.webp
"HON. ODHIAMBO, ELISHA OCHIENG",ODM,GEM,SIAYA,,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ODHIAMBO_ELISHA_OCHIENG.webp
"HON. ODHIAMBO, MILLIE GRACE AKOTH",ODM,MBITA,HOMA BAY,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ODHIAMBO_MILLIE_GRACE_AKOTH.webp
HON. OGOLLA. GIDEON OCHANDA,ODM,BONDO,SIAYA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OGOLLA_GIDEON_OCHANDA.webp
"HON. OKELO, JARED ODOYO",ODM,NYANDO,KISUMU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OKELO_JARED_ODOYO.webp
HON. OKUOME ADIPO ANDREW,ODM,KARACHUONYO,HOMA BAY,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OKUOME_ADIPO_ANDREW.webp
"HON. OLUOCH, ANTHONY TOM",ODM,MATHARE,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OLUOCH_ANTHONY_TOM.webp
HON. OMBOKO MILEMBA,ANC,EMUHAYA,VIHIGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OMBOKO_MILEMBA.webp
HON. OMONDI CAROLI,ODM,SUBA,HOMA BAY,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OMONDI_CAROLI.webp
HON. OMWERA GEORGE ALDWA,ODM,MAKADARA,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OMWERA_GEORGE_ALDWA.webp
HON. ONCHOKE CHARLES MAMWACHA,UPA,BONCHARI,KISII,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ONCHOKE_CHARLES_MAMWACHA.webp
"HON. ONYIEGO, SILVANUS OSORO",UDA,SOUTH MUGIRANGO,KISII,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ONYIEGO_SILVANUS_OSORO.webp
"HON. ORERO, PETER OCHIENG",ODM,KIBRA,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ORERO_PETER_OCHIENG.webp
HON. ORON JOSHUA ODONGO,ODM,KISUMU CENTRAL,KISUMU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ORON_JOSHUA_ODONGO.webp
HON. OSERO PATRICK,ODM,BORABU,NYAMIRA COUNTY,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OSERO_PATRICK.webp
"HON. OTUCHO, MARY EMAASE",UDA,TESO SOUTH,BUSIA,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OTUCHO_MARY_EMAASE.webp
"HON. OUNDO, WILBERFORCE OJIAMBO",ODM,FUNYULA,BUSIA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OUNDO_WILBERFORCE_OJIAMBO.webp
HON. OWINO JOHN WALTER,ODM,AWENDO,MIGORI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OWINO_JOHN_WALTER.webp
"HON. OWINO, MARTIN PETERS",ODM,NDHIWA,HOMA BAY,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OWINO_MARTIN_PETERS.webp
"HON. OWUOR, JOSHUA ADUMA",ODM,NYAKACH,KISUMU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OWUOR_JOSHUA_ADUMA.webp
"HON. OYOO, JAMES ONYANGO",ODM,MUHORONI,KISUMU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OYOO_JAMES_ONYANGO.webp
"HON. OYUGI, DICK MAUNGU",DAP-K,LUANDA,VIHIGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OYUGI_DICK_MAUNGU.webp
"HON. OYULA, JOSEPH H. MAERO",ODM,BUTULA,BUNGOMA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OYULA_JOSEPH_H_MAERO.webp
HON. PARASHINA SAMUEL SAKIMBA,ODM,KAJIADO SOUTH,KAJIADO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_PARASHINA_SAMUEL_SAKIMBA.webp
HON. PAREYIO MANTAINE AGNES,JP,NAROK NORTH,NAROK,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_PAREYIO_MANTAINE_AGNES.webp
"HON. PKOSING, DAVID",KUP,POKOT SOUTH,POKOT,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_PKOSING_DAVID.webp
HON. RAI SAMUEL GONZI,PAA,KINANGO,KWALE,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_RAI_SAMUEL_GONZI.webp
"HON. RASSO, COL (RTD) DIDO ALI",UDA,SAKU,MARSABIT,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_RASSO_COL_RTD_DIDO_ALI.webp
HON. REUBEN KIBOREK,UDA,MOGOTIO,BARINGO,,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_REUBEN_KIBOREK.webp
"HON. ROBI, MATHIAS NYAMABE",UDA,KURIA WEST,MIGORI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ROBI_MATHIAS_NYAMABE.webp
HON. SALASYA PETER KALERWA,DAP-K,MUMIAS EAST,KAKAMEGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_SALASYA_PETER_KALERWA.webp
HON. SALIM FEISAL ABDALLAH BADER,UDA,MSAMBWENI,KWALE,,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_SALIM_FEISAL_ABDALLAH_BADER.webp
HON. SANEY IBRAHIM ADBI,UDA,WAJIR NORTH,WAJIR,,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_SANEY_IBRAHIM_ADBI.webp
HON. SHAKE MBOGHO PETER,JP,MWATATE,TAITA TAVETA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_SHAKE_MBOGHO_PETER.webp
HON. SHIMBWA OMAR MWINYI,ODM,CHANGAMWE,MOMBASA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_SHIMBWA_OMAR_MWINYI.webp
HON. SHINALI BERNARD MASAKA,ODM,IKOLOMANI,KAKAMEGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_SHINALI_BERNARD_MASAKA.webp
HON. SHURIE ABDI OMAR,JP,BALAMBALA,GARISSA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_SHURIE_ABDI_OMAR.webp
