County Code,County Name,Const. Code,Const. Name,CAW Code,CAW Name,Name,Political Party Name,Party Abbrev,image_url
27,Uasin Gishu,146,Kesses,729,Tulwet/ Chuiyat,Julius Kiptoo Songok,United Democratic Alliance,UDA,12081
27,Uasin Gishu,146,Kesses,730,Tarakwa,Thomas Kipyego Rugut,United Democratic Alliance,UDA,10330
28,Elgeyo Marakwet,147,Marakwet East,731,Kapyego,Joseph Kipkorir Chebet,United Democratic Alliance,UDA,3458
28,Elgeyo Marakwet,147,Marakwet East,732,Sambirir,Paul   Kipkemoi Suter,United Democratic Alliance,UDA,5643
28,Elgeyo Marakwet,147,Marakwet East,733,Endo,Jeremiah Kiptum Kibiwott,United Democratic Alliance,UDA,6709
28,Elgeyo Marakwet,147,Marakwet East,734,Embobur/Embolo t,Paul Kipchumba Kipyatich,United Democratic Alliance,UDA,3021
28,Elgeyo Marawet,148,Marakwet West,735,Lelan,Pricillah Jepkoech Kurgat,United Democratic Alliance,UDA,7626
28,Elgeyo Marakwet,148,Marakwet West,736,Sengwer,Asbel Kisang Kiptoo,Independent,IND,3654
28,Elgeyo Marakwet,148,Marakwet West,737,Cherang’any/Che bororowa,Evans Kimutai Kosgei,United Democratic Alliance,UDA,6088
28,Elgeyo Maraket,148,Marakwet West,738,Moiben /Kuserwo,Hillary Kipchirchir Kiplagat,United Democratic Alliance,UDA,5230
28,Elgeyo Marakwet,148,Marakwet West,739,Kapsowar,Joshua Kipruto,United Democratic Alliance,UDA,8892
28,Elgeyo Marakwet,148,Marakwet West,740,Arror,Justine Kosgei Mutwol,Independent,IND,2333
28,Elgeyo Marakwet,149,Keiyo North,741,Emsoo,Christopher Kangogo Cheboiboch,United Democratic Alliance,UDA,2887
28,Elgeyo Marakwet,149,Keiyo North,742,Kamariny,Benjamin Kipkemboi Cheptiony,United Democratic Alliance,UDA,10841
28,Elgeyo Marakwet,149,Keiyo North,743,Kapchemutwa,Stephen Kemboi Cheruiyot,United Democratic Alliance,UDA,11196
28,Elgeyo Marakwet,149,Keiyo North,744,Tambach,Dominic Chesire,United Democratic Alliance,UDA,4823
28,Elgeyo Marakwet,150,Keiyo South,745,Kaptarakwa,Mathew Cheruiyot Kimutai,United Democratic Alliance,UDA,4953
28,Elgeyo Marakwet,150,Keiyo South,746,Chepkorio,John Kimeli Koima,United Democratic Alliance,UDA,10591
28,Elgeyo Marakwet,150,Keiyo South,747,Soy North,Simeon Kibet Chepseba,United Democratic Alliance,UDA,4652
28,Elgeyo Marakwet,150,Keiyo South,748,Soy South,Jonah Korir Tanui,United Democratic Alliance,UDA,5949
28,Elgeyo Marakwet,150,Keiyo South,749,Kabiemit,Alfred Kipkoech Barsulai,United Democratic Alliance,UDA,4880
