name,party,constituency,county,status,gender,image_local_path,start_date,end_date
FABIAN KYULE MULI,GDDP,KANGUNDO,MACHAKOS,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MULI_FABIAN_KYULE.webp,2022,
MAKALI BENSON MULU,WDM,KITUI CENTRAL,KITUI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MULU_MAKALI.webp,2022,
GIDEON MUTEMI MULYUNGI,WDM,MWINGI CENTRAL,KITUI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MULYUNGI_GIDEON_MUTEMI.webp,2022,
JOSEPH KAMAU MUNYORO,UDA,KIGUMO,MURANG'A,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MUNYORO_JOSEPH_KAMAU.webp,2022,
ANTHONY KENGA MUPE,PAA,RABAI,KILIFI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MUPE_ANTHONY_KENGA.webp,2022,
WAKILI EDWARD MURIU,UDA,GATANGA,MURANG'A,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MURIU_WAKILI_EDWARD.webp,2022,
BERNARD MURIUKI NEBART,IND,MBEERE SOUTH,EMBU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MURIUKI_NEBART_BERNARD.webp,2022,
GEORGE GITONGA MURUGARA,UDA,THARAKA,THARAKA-NITHI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MURUGARA_GEORGE_GITONGA.webp,2022,
VINCENT MUSYOKA MUSAU,UDA,MWALA,MACHAKOS,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MUSAU_VINCENT_MUSYOKA.webp,2022,
MUTAI ALFRED KIPRONO,UDA,KURESOI NORTH,NAKURU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MUTAI_KIPRONOH_ALFRED.webp,2022,
MUTHAMA STANLEY MUIRURI,JP,LAMU WEST,LAMU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MUTHAMA_STANLEY_MUIRURI.webp,2022,
DIDMUS WEKESA BARASA MUTUA,UDA,KIMILILI,BUNGOMA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MUTUA_DIDMUS_WEKESA_BARASA.webp,2022,
ECKOMAS MWENGI MUTUSE,MCCP,KIBWEZI WEST,MAKUENI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MUTUSE_ECKOMAS_MWENGI.webp,2022,
AUGUSTINE KAMANDE MWAFRIKA,UDA,ROYSAMBU,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MWAFRIKA_AUGUSTINE_KAMANDE.webp,2022,
MWAGO AMOS MAINA,JP,STAREHE,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MWAGO_AMOS_MAINA.webp,2022,
DANSON MWASHAKO MWAKUWONA,WDM,WUNDANYI,TAITA TAVETA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MWAKUWONA_DANSON_MWASHAKO.webp,2022,
